SkuShort,Brand,Country,Year,Week,NumberWorkdays,PrevNumberWorkdays,NextNumberWorkdays,AvgTemp,AvgRain,AvgSun,IsLockdown,PdtHl,PrevWeekPdtHl1,BgtHl,PrevWeekSalesHl1,PrevWeekSalesHl2,PrevYearSalesHl1,PrevYearSalesHl2,TrueSalesHl,PredSalesHl_Classic,PredSalesHl_ML
11876,BIRELL,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,191.5,106.44,539.0,111.6,47.28,167.8,,166.56,144.9,267.0
11876,BIRELL,SK,2021,15,5,4.0,,3.277,1.754,1.525,True,713.0,921.0,211.8,13.92,31.44,77.4,,24.96,32.16,84.0
11893,BIRELL,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,,,24.1,,,12.38,,0.0,0.0,0.0
12570,BIRELL,SK,2021,15,5,4.0,,3.277,1.754,1.525,True,,,,,,,,0.0,18.0,28.0
12576,BIRELL,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,641.5,411.2,1588.0,718.5,961.5,1008.0,768.0,850.8,801.0,1402.0
12576,BIRELL,SK,2021,15,5,4.0,,3.277,1.754,1.525,True,819.5,1013.5,275.2,78.75,125.4,227.1,192.5,137.28,106.06,163.0
12815,BIRELL,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,148.6,156.0,,91.7,249.2,,,102.3,146.0,136.0
12815,BIRELL,SK,2021,15,5,4.0,,3.277,1.754,1.525,True,,,,0.2,0.1,,,0.1,0.0,0.0
12876,BIRELL,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,,,,28.69,72.5,,,18.24,0.0,32.0
12876,BIRELL,SK,2021,15,5,4.0,,3.277,1.754,1.525,True,12.53,12.53,,26.77,24.48,,,34.56,51.0,18.0
12915,BIRELL,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,153.6,159.6,,88.8,259.2,,,156.8,145.9,138.0
12915,BIRELL,SK,2021,15,5,4.0,,3.277,1.754,1.525,True,,,,0.2,0.1,,,0.2,0.0,0.0
12976,BIRELL,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,,,,4.44,21.6,,,11.4,0.0,6.0
